Date,Time,Profile,Message
2026-02-18,09:00,LinkedIn - ArcadiaB,"La economía mexicana enfrenta presión inflacionaria constante. M2 expandió 12.3% YoY en 2025.

¿Cómo están respondiendo las tesorerías corporativas?

Capital Duro analiza cómo Bitcoin ofrece escasez absoluta: 21 millones, sin emisión adicional posible.

Investigación rigurosa para CFOs, family offices y directores financieros.

capitalduro.mx

#Bitcoin #TesoreríaCorporativa #México #FinanzasInstitucionales"
2026-02-18,10:00,Facebook - ArcadiaB,"Trabajas duro. Ahorras. 💪

Pero sientes que nunca avanzas. 😔

La inflación real no aparece en las cifras oficiales, pero sí en tu cuenta bancaria cuando vas al súper.

Bitcoin termina con esto: escasez absoluta, 21 millones, transparencia total. 📊

Aprende más (gratis): aprenderbitcoin.mx"
2026-02-20,09:00,LinkedIn - ArcadiaB,"Desde 2017, ArcadiaB ha sido pionera en servicios financieros Bitcoin en México.

✅ Licencia SOFOM
✅ Primera tesorería Bitcoin del país
✅ Compatible con todos los bancos mexicanos
✅ Custodia multifirma institucional
✅ +7 años de experiencia

Protegiendo patrimonios corporativos y personales con Bitcoin.

arcadaib.com

#ServiciosBitcoin #SOFOM #México #FinTech"
2026-02-20,14:00,Facebook - ArcadiaB,"¿Nuevo en Bitcoin? 🤔

AprenderBitcoin.mx es tu curso gratuito de 10 capítulos en video.

✅ En español claro
✅ Desde cero
✅ Enfoque práctico mexicano
✅ Sin vender nada

Solo educación de calidad. 🎓

aprenderbitcoin.mx"
2026-02-22,14:00,Facebook - ArcadiaB,"3 pasos para proteger tu patrimonio con Bitcoin:

1️⃣ Crea tu cuenta (2 minutos)
2️⃣ Conecta tu banco (SPEI o tarjeta)
3️⃣ Comienza a acumular

Sin comisiones en compras recurrentes.
Soporte humano en México. 🇲🇽

arcadaib.com"
2026-02-23,10:00,LinkedIn - ArcadiaB,"La barrera #1 para adopción Bitcoin en México: educación accesible.

AprenderBitcoin.mx resuelve esto:
• 10 capítulos en video (gratuitos)
• En español claro, sin tecnicismos
• Enfoque práctico para el contexto mexicano
• De cero a comprensión completa

Porque la educación de calidad no debe tener precio.

aprenderbitcoin.mx

#EducaciónFinanciera #Bitcoin #México"
2026-02-24,10:00,Facebook - ArcadiaB,"Desde 2017 hemos sido la empresa Bitcoin más antigua de México. 🏆

Licencia SOFOM. Primera tesorería Bitcoin del país. Compatible con todos los bancos mexicanos.

Protege tu patrimonio con quien tiene track record real.

arcadaib.com"
2026-02-26,09:00,LinkedIn - ArcadiaB,"Capital Duro no es contenido promocional.

Es investigación institucional con datos verificables, análisis económico riguroso y casos de estudio para profesionales financieros.

Diseñado para:
→ CFOs evaluando estrategia de tesorería
→ Family offices considerando diversificación
→ Directores financieros navegando adopción Bitcoin

Sin hype. Solo análisis.

capitalduro.mx

#InvestigaciónInstitucional #Bitcoin #Análisis"
2026-02-27,14:00,Facebook - ArcadiaB,"¿Por qué las empresas mexicanas están explorando Bitcoin? 🤔

Expansión monetaria M2: +12.3% anual
Peso vs dólar: -99% desde 1976
Bitcoin: 21 millones, escasez absoluta ⚡

El análisis completo (datos reales, sin hype):
capitalduro.mx"
2026-03-01,10:00,LinkedIn - ArcadiaB,"¿Tienes Bitcoin pero necesitas liquidez?

Próximamente: Préstamos garantizados con tu BTC. Sin vender. Sin perder el upside.

✅ Regulados SOFOM
✅ Custodia multifirma
✅ Compatible con bancos mexicanos

Registro de interés anticipado en arcadaib.com

#Bitcoin #Préstamos #México"
2026-03-01,19:00,Facebook - ArcadiaB,"Educación > Especulación 📚

AprenderBitcoin.mx explica:
• Por qué existe Bitcoin
• Cómo funciona
• Cómo protege tu patrimonio
• Cómo empezar de forma segura

10 capítulos. Gratis. En español. Para México y LATAM.

aprenderbitcoin.mx"
2026-03-03,14:00,Facebook - ArcadiaB,"El flujo completo para entender y adoptar Bitcoin en México:

1️⃣ Educación: aprenderbitcoin.mx (entender Bitcoin)
2️⃣ Investigación: capitalduro.mx (análisis institucional)
3️⃣ Implementación: arcadaib.com (servicios Bitcoin)

De curiosidad a adopción. Todo en español. Todo desde México. 🇲🇽"
2026-03-04,09:00,LinkedIn - ArcadiaB,"El peso mexicano ha perdido más del 99% de su poder adquisitivo frente al dólar desde 1976.

Bitcoin tiene escasez absoluta. 21 millones. Nadie puede imprimir más.

Para empresas y familias que piensan a largo plazo, la diferencia es clara.

ArcadiaB: protegiendo patrimonios desde 2017.

arcadaib.com

#Bitcoin #PreservaciónDeCapital #México"
2026-03-05,14:00,Facebook - ArcadiaB,"Tu patrimonio pierde valor cada día que permanece solo en pesos. 📉

En ArcadiaB lo proteges con Bitcoin:
✅ Compatible con cualquier banco mexicano
✅ Licencia SOFOM
✅ Desde 2017

arcadaib.com"
